Country,CasesLast7days,CasesPreceding7days,WeeklyCaseChange,CasesLast7daysPop,DeathsLast7days,DeathsPreceding7days,WeeklyDeathChange,DeathsLast7days1M,Population
Albania,66,168,-61.0,23,0,0,0,0.0,2866374
Andorra,39,0,3900.0,503,0,0,0,0.0,77463
Austria,13095,17026,-23.0,1444,33,55,-40,4.0,9066710
Belgium,2780,3913,-29.0,238,47,83,-43,4.0,11668278
Bosnia and Herzegovina,87,91,-4.0,27,4,7,-43,1.0,3249317
Bulgaria,748,980,-24.0,109,21,18,17,3.0,6844597
Channel Islands,193,365,-47.0,1094,2,0,200,11.0,176463
Croatia,699,1073,-35.0,172,59,90,-34,15.0,4059286
Czechia,1759,2185,-19.0,164,22,56,-61,2.0,10736784
Denmark,914,1820,-50.0,157,82,95,-14,14.0,5834950
Estonia,377,397,-5.0,285,11,13,-15,8.0,1321910
Finland,850,1343,-37.0,153,0,12,-100,0.0,5554960
France,36335,54112,-33.0,554,462,603,-23,7.0,65584518
Germany,64992,98156,-34.0,775,960,1107,-13,11.0,83883596
Gibraltar,0,74,-100.0,0,0,1,-100,0.0,33704
Hungary,866,1597,-46.0,90,51,32,59,5.0,9606259
Iceland,80,161,-50.0,232,0,0,0,0.0,345393
Ireland,886,2957,-70.0,176,30,48,-38,6.0,5020199
Italy,0,84060,-100.0,0,0,576,-100,0.0,60262770
Latvia,219,312,-30.0,118,13,15,-13,7.0,1848837
Liechtenstein,11,15,-27.0,287,0,0,0,0.0,38387
Lithuania,1662,1787,-7.0,624,14,16,-13,5.0,2661708
Malta,131,210,-38.0,295,1,2,-50,2.0,444033
Moldova,382,302,26.0,95,7,4,75,2.0,4013171
Monaco,24,41,-41.0,603,0,0,0,0.0,39783
Montenegro,439,441,-0.5,699,1,2,-50,2.0,627950
Netherlands,1682,3310,-49.0,98,0,0,0,0.0,17211447
North Macedonia,202,238,-15.0,97,10,9,11,5.0,2081304
Norway,522,788,-34.0,95,0,0,0,0.0,5511370
Poland,2068,2044,1.0,55,42,66,-36,1.0,37739785
Romania,3488,4107,-15.0,183,44,52,-15,2.0,19031335
Russia,34692,24531,41.0,238,307,317,-3,2.0,145805947
San Marino,0,114,-100.0,0,0,0,0,0.0,34085
Serbia,5859,6603,-11.0,677,51,32,59,6.0,8653016
Slovakia,322,431,-25.0,59,32,29,10,6.0,5460193
Slovenia,2463,4656,-47.0,1185,9,9,0,4.0,2078034
Spain,9871,9220,7.0,211,76,318,-76,2.0,46719142
Sweden,2063,3900,-47.0,202,53,306,-83,5.0,10218971
Switzerland,667,1388,-52.0,76,7,14,-50,0.8,8773637
UK,0,19403,-100.0,0,0,1129,-100,0.0,68497907
Ukraine,0,2121,-100.0,0,0,44,-100,0.0,43192122
